,Distance mahalanobis,Phrase,Index phrase,Roman
118,6.287654,"Ils étaient perpétuellement parcourus , comme par un chemineau invisible , par le vent qui était pour moi le génie particulier de Combray .",1703,0ducote.txt
119,6.2965345,Le bruit des portes me faisait presque aussi mal parce que ce n ' était pas elle qui les ouvrait .,33943,5disparue1.txt
120,6.2970843,Il faut que mes oreilles m ' aient trompé .,7418,1ombre2.txt
121,6.3005853,Mme de Franquetot tenta une démarche en faveur de sa cousine qui aimait tant la musique .,20668,3sodome1.txt
122,6.301701,"il y a des gens que ça impressionne encore » , ce qui avait permis au moins à Mme Verdurin de répliquer : « Grand bien leur fasse ! »",3043,0ducote.txt
123,6.303517,On a dit que le silence était une force ;,13009,2guermantes1.txt
124,6.3035345,"Puis la vue revint complètement , des yeux le mal nomade passa aux oreilles .",16173,2guermantes2.txt
125,6.309819,"enfin jusqu ’ à leur nom féminin , désœuvré et doux , me faisaient battre le cœur mais d ’ un désir mondain , comme ces valses qui ne nous évoquent plus que le nom des belles invitées que l ’ huissier annonce à l ’ entrée d ’ un bal .",5032,0ducote.txt
126,6.310321,Il était pour moi comme ces jardins zoologiques où l ’ on voit rassemblés des flores diverses et des paysages opposés ;,5026,0ducote.txt
127,6.3125324,Mais ces mots : « Mademoiselle Albertine est partie » venaient de traduire dans mon cœur une souffrance telle que je ne pourrais pas y résister plus longtemps .,33521,5disparue1.txt
128,6.3125935,"Si faiblement traduit , son chagrin n ' en était pas moins très grand , aggravé d ' ailleurs par l ' ennui que sa fille , retenue à Combray ( que la jeune Parisienne appelait maintenant la « cambrousse » et où elle se sentait devenir « pétrousse » ) , ne pût vraisemblablement revenir pour la cérémonie mortuaire que Françoise sentait devoir être quelque chose de superbe .",16306,2guermantes2.txt
129,6.312991,"Mais même en dehors des rares minutes comme celles - là , où brusquement nous sentons l ' entité originale tressaillir et reprendre sa forme et sa ciselure au sein des syllabes mortes aujourd ' hui , si dans le tourbillon vertigineux de la vie courante , où ils n ' ont plus qu ' un usage entièrement pratique , les noms ont perdu toute couleur comme une toupie prismatique qui tourne trop vite et qui semble grise , en revanche quand , dans la rêverie , nous réfléchissons , nous cherchons , pour revenir sur le passé , à ralentir , à suspendre le mouvement perpétuel où nous sommes entraînés , peu à peu nous revoyons apparaître , juxtaposées , mais entièrement distinctes les unes des autres , les teintes qu ' au cours de notre existence nous présenta successivement un même nom .",11674,2guermantes1.txt
130,6.3168488,"Au reste , ma jalousie causée par les femmes qu ' aimait peut - être Albertine allait brusquement cesser .",23533,3sodome1.txt
131,6.3171134,"Et aux lacunes que cette distraction laissait dans le récit , s ’ ajoutait , quand c ’ était maman qui me lisait à haute voix , qu ’ elle passait toutes les scènes d ’ amour .",488,0ducote.txt
132,6.3211093,Ces derniers mots m ' accablèrent .,35992,5disparue2.txt
133,6.32616,"L ' étonnement et l ' espèce de honte que je ressentais de ne pas m ' être une seule fois dit qu ' Albertine était chez moi dans une position fausse , qui pouvait ennuyer sa tante , cet étonnement , ce n ' était pas la première fois , ce ne fut pas la dernière fois , que je l ' éprouvai .",36039,5disparue2.txt
